Iteration,BestFitness
0 ,174.65999999999997
1 ,101.97799999999995
2 ,101.97799999999995
3 ,88.971
4 ,88.971
5 ,88.971
6 ,73.25699999999989
7 ,73.25699999999989
8 ,59.46700000000004
9 ,59.46700000000004
10 ,52.75899999999996
11 ,52.75899999999996
12 ,52.75899999999996
13 ,52.75899999999996
14 ,52.75899999999996
15 ,52.75899999999996
16 ,52.75899999999996
17 ,52.75899999999996
18 ,35.07800000000009
19 ,35.07800000000009
20 ,35.07800000000009
21 ,35.07800000000009
22 ,35.07800000000009
23 ,35.07800000000009
24 ,35.07800000000009
25 ,35.07800000000009
26 ,35.07800000000009
27 ,5.689000000000078
28 ,5.689000000000078
29 ,5.689000000000078
30 ,5.689000000000078
31 ,5.689000000000078
32 ,5.689000000000078
33 ,5.689000000000078
34 ,5.689000000000078
35 ,5.689000000000078
36 ,5.689000000000078
37 ,5.689000000000078
38 ,5.689000000000078
39 ,5.689000000000078
40 ,5.689000000000078
41 ,5.689000000000078
42 ,5.689000000000078
43 ,5.689000000000078
44 ,5.689000000000078
45 ,5.689000000000078
46 ,5.689000000000078
47 ,5.689000000000078
48 ,5.689000000000078
49 ,5.689000000000078
50 ,5.689000000000078
51 ,5.689000000000078
52 ,5.689000000000078
53 ,5.689000000000078
54 ,5.689000000000078
55 ,5.689000000000078
56 ,5.689000000000078
57 ,5.689000000000078
58 ,5.689000000000078
59 ,5.689000000000078
60 ,5.689000000000078
61 ,5.689000000000078
62 ,5.689000000000078
63 ,5.689000000000078
64 ,5.689000000000078
65 ,5.689000000000078
66 ,5.689000000000078
67 ,5.689000000000078
68 ,5.689000000000078
69 ,5.689000000000078
70 ,5.689000000000078
71 ,5.689000000000078
72 ,5.689000000000078
73 ,5.689000000000078
74 ,5.689000000000078
75 ,5.689000000000078
76 ,5.689000000000078
77 ,5.689000000000078
78 ,5.689000000000078
79 ,5.689000000000078
80 ,5.689000000000078
81 ,5.689000000000078
82 ,5.689000000000078
83 ,5.689000000000078
84 ,5.689000000000078
85 ,5.689000000000078
86 ,5.689000000000078
87 ,5.689000000000078
88 ,5.689000000000078
89 ,5.689000000000078
90 ,5.689000000000078
91 ,5.689000000000078
92 ,5.689000000000078
93 ,5.689000000000078
94 ,5.689000000000078
95 ,5.689000000000078
96 ,5.689000000000078
97 ,5.689000000000078
98 ,5.689000000000078
99 ,5.689000000000078
100 ,5.689000000000078
101 ,5.689000000000078
102 ,5.689000000000078
103 ,5.689000000000078
104 ,5.689000000000078
